frameIdx,timestamp,height,width,motion_status,pixel_count,total_object,predClasses,confidences,bboxes,time_per_frame
15,Monday 31 October 2022 06:44:07PM,720,1280,True,921600,0,[],[],[],0.0332028865814209
30,Monday 31 October 2022 06:44:07PM,720,1280,True,921600,1,['person'],[0.6467978954315186],"[(745, 495, 862, 720)]",0.02850055694580078
45,Monday 31 October 2022 06:44:07PM,720,1280,True,921600,0,[],[],[],0.019514799118041992
60,Monday 31 October 2022 06:44:07PM,720,1280,True,921600,1,['person'],[0.7043589353561401],"[(847, 407, 959, 607)]",0.020471572875976562
75,Monday 31 October 2022 06:44:07PM,720,1280,True,219947,0,[],[],[],0.029773235321044922
90,Monday 31 October 2022 06:44:07PM,720,1280,True,136229,1,['person'],[0.8557431697845459],"[(924, 330, 1008, 526)]",0.02906513214111328
105,Monday 31 October 2022 06:44:07PM,720,1280,True,103722,0,[],[],[],0.022627592086791992
120,Monday 31 October 2022 06:44:07PM,720,1280,True,85108,2,"['person', 'person']","[0.9442883133888245, 0.7634466290473938]","[(208, 384, 278, 569), (244, 385, 328, 574)]",0.02770686149597168
135,Monday 31 October 2022 06:44:07PM,720,1280,True,74435,0,[],[],[],0.032218217849731445
150,Monday 31 October 2022 06:44:07PM,720,1280,True,70617,1,['person'],[0.7856233716011047],"[(330, 337, 413, 512)]",0.029828548431396484
165,Monday 31 October 2022 06:44:07PM,720,1280,True,70755,0,[],[],[],0.030516624450683594
180,Monday 31 October 2022 06:44:07PM,720,1280,True,75961,0,[],[],[],0.029332637786865234
195,Monday 31 October 2022 06:44:07PM,720,1280,True,76093,1,['person'],[0.6446150541305542],"[(14, 252, 71, 412)]",0.025086164474487305
210,Monday 31 October 2022 06:44:07PM,720,1280,True,71435,1,['person'],[0.7606724500656128],"[(15, 228, 67, 376)]",0.024348735809326172
225,Monday 31 October 2022 06:44:08PM,720,1280,True,68464,2,"['person', 'person']","[0.8478153347969055, 0.6429365873336792]","[(16, 197, 84, 372), (145, 216, 221, 372)]",0.022259950637817383
240,Monday 31 October 2022 06:44:08PM,720,1280,True,67661,0,[],[],[],0.026423215866088867
255,Monday 31 October 2022 06:44:08PM,720,1280,True,66472,1,['person'],[0.870064377784729],"[(223, 191, 290, 338)]",0.019319772720336914
270,Monday 31 October 2022 06:44:08PM,720,1280,True,62441,1,['person'],[0.6773646473884583],"[(220, 154, 285, 311)]",0.024464845657348633
285,Monday 31 October 2022 06:44:08PM,720,1280,True,61812,1,['person'],[0.8370140194892883],"[(210, 166, 265, 306)]",0.026187419891357422
300,Monday 31 October 2022 06:44:08PM,720,1280,True,57984,1,['person'],[0.8286015391349792],"[(210, 141, 272, 292)]",0.019602060317993164
315,Monday 31 October 2022 06:44:08PM,720,1280,True,53604,2,"['person', 'person']","[0.7203139066696167, 0.6058951616287231]","[(236, 142, 297, 289), (327, 113, 382, 276)]",0.023960113525390625
330,Monday 31 October 2022 06:44:08PM,720,1280,True,50578,2,"['person', 'person']","[0.7990841269493103, 0.723624050617218]","[(334, 125, 388, 262), (246, 124, 300, 259)]",0.026656150817871094
345,Monday 31 October 2022 06:44:08PM,720,1280,True,43475,1,['person'],[0.833317220211029],"[(334, 121, 392, 258)]",0.01983952522277832
360,Monday 31 October 2022 06:44:08PM,720,1280,True,41005,0,[],[],[],0.02335643768310547
375,Monday 31 October 2022 06:44:08PM,720,1280,True,43906,0,[],[],[],0.027277708053588867
390,Monday 31 October 2022 06:44:08PM,720,1280,True,43582,1,['person'],[0.6520333290100098],"[(970, 78, 1016, 185)]",0.018778562545776367
405,Monday 31 October 2022 06:44:08PM,720,1280,True,46735,0,[],[],[],0.01856708526611328
420,Monday 31 October 2022 06:44:08PM,720,1280,True,46338,1,['person'],[0.6588477492332458],"[(833, 19, 893, 186)]",0.02962803840637207
435,Monday 31 October 2022 06:44:08PM,720,1280,True,47452,0,[],[],[],0.020288944244384766
450,Monday 31 October 2022 06:44:09PM,720,1280,True,49904,0,[],[],[],0.025421142578125
465,Monday 31 October 2022 06:44:09PM,720,1280,True,46971,1,['person'],[0.8260318636894226],"[(691, 385, 768, 571)]",0.021096467971801758
480,Monday 31 October 2022 06:44:09PM,720,1280,True,43562,0,[],[],[],0.02269268035888672
495,Monday 31 October 2022 06:44:09PM,720,1280,True,43927,0,[],[],[],0.026067256927490234
