frameIdx,processed_on,height,width,motion_status,pixel_count,total_object,predClasses,confidences,bboxes,time_per_frame
5,Thursday 03 November 2022 12:34:24AM,720,1280,True,921600,0,[],[],[],0.028394460678100586
10,Thursday 03 November 2022 12:34:24AM,720,1280,True,921600,0,[],[],[],0.022405147552490234
15,Thursday 03 November 2022 12:34:24AM,720,1280,True,921600,0,[],[],[],0.022937297821044922
20,Thursday 03 November 2022 12:34:24AM,720,1280,True,921600,1,['person'],[0.7494692206382751],"[(731, 536, 818, 720)]",0.02080512046813965
25,Thursday 03 November 2022 12:34:24AM,720,1280,True,100564,1,['person'],[0.9299358129501343],"[(744, 515, 842, 720)]",0.02215719223022461
30,Thursday 03 November 2022 12:34:24AM,720,1280,True,94028,1,['person'],[0.6467978954315186],"[(745, 495, 862, 720)]",0.022162914276123047
35,Thursday 03 November 2022 12:34:25AM,720,1280,True,79720,0,[],[],[],0.035077571868896484
40,Thursday 03 November 2022 12:34:25AM,720,1280,True,65205,0,[],[],[],0.020818233489990234
45,Thursday 03 November 2022 12:34:25AM,720,1280,True,61952,0,[],[],[],0.024358749389648438
50,Thursday 03 November 2022 12:34:25AM,720,1280,True,63083,0,[],[],[],0.029480695724487305
55,Thursday 03 November 2022 12:34:25AM,720,1280,True,69430,1,['person'],[0.879118800163269],"[(849, 419, 939, 620)]",0.02291560173034668
60,Thursday 03 November 2022 12:34:25AM,720,1280,True,72394,1,['person'],[0.7043589353561401],"[(847, 407, 959, 607)]",0.02080821990966797
65,Thursday 03 November 2022 12:34:25AM,720,1280,True,74384,1,['person'],[0.8106671571731567],"[(857, 399, 970, 606)]",0.02009296417236328
70,Thursday 03 November 2022 12:34:25AM,720,1280,True,80897,1,['person'],[0.9250246286392212],"[(891, 377, 975, 563)]",0.023289203643798828
75,Thursday 03 November 2022 12:34:25AM,720,1280,True,83356,0,[],[],[],0.02156972885131836
80,Thursday 03 November 2022 12:34:25AM,720,1280,True,81684,1,['person'],[0.7223884463310242],"[(909, 347, 999, 534)]",0.021024227142333984
85,Thursday 03 November 2022 12:34:25AM,720,1280,True,76977,1,['person'],[0.8657149076461792],"[(919, 340, 1007, 529)]",0.022454023361206055
90,Thursday 03 November 2022 12:34:25AM,720,1280,True,74341,1,['person'],[0.8557431697845459],"[(924, 330, 1008, 526)]",0.021932601928710938
95,Thursday 03 November 2022 12:34:25AM,720,1280,True,72923,1,['person'],[0.6486855745315552],"[(951, 316, 1021, 484)]",0.021216392517089844
100,Thursday 03 November 2022 12:34:25AM,720,1280,True,74547,1,['person'],[0.6352087259292603],"[(952, 309, 1025, 476)]",0.022858142852783203
